Brand,Quarter,Market Share
RIM,Q3 '12,0.043
RIM,Q4 '12,0
RIM,Q1 '13,0
RIM,Q2 '13,0
RIM,Q3 '13,0
RIM,Q4 '13,0
RIM,Q1 '14,0
RIM,Q2 '14,0
RIM,Q3 '14,0
RIM,Q4 '14,0
RIM,Q1 '15,0
RIM,Q2 '15,0
RIM,Q3 '15,0
RIM,Q4 '15,0
RIM,Q1 '16,0
RIM,Q2 '16,0
RIM,Q3 '16,0
RIM,Q4 '16,0
RIM,Q1 '17,0
RIM,Q2 '17,0
RIM,Q3 '17,0
RIM,Q4 '17,0
RIM,Q1 '18,0
RIM,Q2 '18,0
RIM,Q3 '18,0
RIM,Q4 '18,0
RIM,Q1 '19,0
RIM,Q2 '19,0
HTC,Q4 '09,0.045
HTC,Q1 '10,0.049
HTC,Q2 '10,0.068
HTC,Q3 '10,0.071
HTC,Q4 '10,0.085
HTC,Q1 '11,0.089
HTC,Q2 '11,0.107
HTC,Q3 '11,0.103
HTC,Q4 '11,0.064
HTC,Q1 '12,0.045
HTC,Q2 '12,0.059
HTC,Q3 '12,0.04
HTC,Q4 '12,0
HTC,Q1 '13,0
HTC,Q2 '13,0
HTC,Q3 '13,0
HTC,Q4 '13,0
HTC,Q1 '14,0
HTC,Q2 '14,0
HTC,Q3 '14,0
HTC,Q4 '14,0
HTC,Q1 '15,0
HTC,Q2 '15,0
HTC,Q3 '15,0
HTC,Q4 '15,0
HTC,Q1 '16,0
HTC,Q2 '16,0
HTC,Q3 '16,0
HTC,Q4 '16,0
HTC,Q1 '17,0
HTC,Q2 '17,0
HTC,Q3 '17,0
HTC,Q4 '17,0
HTC,Q1 '18,0
HTC,Q2 '18,0
HTC,Q3 '18,0
HTC,Q4 '18,0
HTC,Q1 '19,0
HTC,Q2 '19,0
Nokia,Q4 '09,0.386
Nokia,Q1 '10,0.388
Nokia,Q2 '10,0.373
Nokia,Q3 '10,0.32
Nokia,Q4 '10,0.276
Nokia,Q1 '11,0.238
Nokia,Q2 '11,0.154
Nokia,Q3 '11,0.136
Nokia,Q4 '11,0.122
Nokia,Q1 '12,0.078
Nokia,Q2 '12,0.066
Nokia,Q3 '12,0
Nokia,Q4 '12,0
Nokia,Q1 '13,0
Nokia,Q2 '13,0
Nokia,Q3 '13,0
Nokia,Q4 '13,0
Nokia,Q1 '14,0
Nokia,Q2 '14,0
Nokia,Q3 '14,0
Nokia,Q4 '14,0
Nokia,Q1 '15,0
Nokia,Q2 '15,0
Nokia,Q3 '15,0
Nokia,Q4 '15,0
Nokia,Q1 '16,0
Nokia,Q2 '16,0
Nokia,Q3 '16,0
Nokia,Q4 '16,0
Nokia,Q1 '17,0
Nokia,Q2 '17,0
Nokia,Q3 '17,0
Nokia,Q4 '17,0
Nokia,Q1 '18,0
Nokia,Q2 '18,0
Nokia,Q3 '18,0
Nokia,Q4 '18,0
Nokia,Q1 '19,0
Nokia,Q2 '19,0
Others,Q4 '09,0.176
Others,Q1 '10,0.172
Others,Q2 '10,0.199
Others,Q3 '10,0.201
Others,Q4 '10,0.243
Others,Q1 '11,0.241
Others,Q2 '11,0.248
Others,Q3 '11,0.267
Others,Q4 '11,0.164
Others,Q1 '12,0.154
Others,Q2 '12,0.14
Others,Q3 '12,0.257
Others,Q4 '12,0.286
Others,Q1 '13,0.338
Others,Q2 '13,0.364
Others,Q3 '13,0.384
Others,Q4 '13,0.3694
Others,Q1 '14,0.408
Others,Q2 '14,0.421
Others,Q3 '14,0.439
Others,Q4 '14,0.461
Others,Q1 '15,0.376
Others,Q2 '15,0.406
Others,Q3 '15,0.391
Others,Q4 '15,0.364
Others,Q1 '16,0.421
Others,Q2 '16,0.41
Others,Q3 '16,0.407
Others,Q4 '16,0.369
Others,Q1 '17,0.35
Others,Q2 '17,0.401
Others,Q3 '17,0.396
Others,Q4 '17,0.368
Others,Q1 '18,0.276
Others,Q2 '18,0.329
Others,Q3 '18,0.338
Others,Q4 '18,0.315
Others,Q1 '19,0.233
Others,Q2 '19,0.31
